id,name,synonyms,category,kcal,fat,protein
1487,"Crêpes nature, zubereitet",,Gerichte/Sonstige salzige/rezente Gerichte,234,13.3,9.3
1498,"Crevettencocktail, zubereitet",,Gerichte/Salate,174,13.2,5.5
384,"Dattel, getrocknet",,Früchte/Früchte getrocknet,305,0.5,2.5
1041,"Dinkelmehl, Ruch, Typ 1100",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke",348,2.2,14.3
1042,"Dinkelmehl, Vollkorn, Typ 1900",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke",346,2.7,15.6
1043,"Dinkelmehl, weiss, Typ 550",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke",348,1.5,13.3
589,Distelöl,,Fette und Öle/Öle,806,89.6,0
798,"Doppelrahm, pasteurisiert",,Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter,425,45,2.1
13350,"Dorsch, Filet, gedämpft (ohne Zusatz von Fett und Salz)",,Fisch/Meeresfische,95,0.5,22.6
285,"Dorsch, roh",Kabeljau,Fisch/Meeresfische,76,0.4,18.1
10535,Dulce de Leche,Milchkonfitüre,Süssigkeiten/Konfitüren und süsse Brotaufstriche,300,7.3,5.9
272,"Edelkastanie, roh",Marroni,"Nüsse, Samen und Ölfrüchte",198,1.5,2.9
765,"Egli, roh",Flussbarsch,Fisch/Süsswasserfische,78,0.7,18
1502,"Eieromeletten mit Käse, zubereitet",Französische Omeletten,Gerichte/Sonstige salzige/rezente Gerichte,195,14.9,13.8
1501,"Eieromeletten mit Schinken, zubereitet",Französische Omeletten,Gerichte/Sonstige salzige/rezente Gerichte,146,10,12.6
1503,"Eieromeletten mit Speck, zubereitet",Französische Omeletten,Gerichte/Sonstige salzige/rezente Gerichte,182,14.2,12.3
1500,"Eieromeletten, zubereitet",Französische Omeletten,Gerichte/Sonstige salzige/rezente Gerichte,154,11.5,11.1
1038,"Eierschwamm, gedünstet (ohne Zugabe von Fett und Salz)",Pfifferling,Gemüse/Pilze,26,0.6,2
376,"Eierschwamm, roh",Pfifferling,Gemüse/Pilze,21,0.5,1.6
459,"Eisbergsalat, roh",,Gemüse/Gemüse frisch,16,0.2,1
804,"Eistee, gezuckert",,Alkoholfreie Getränke/Süssgetränke;Alkoholfreie Getränke/Tee,30,0,0
555,"Emmentaler, vollfett",,Milch und Milchprodukte/Hartkäse,411,32.6,29
467,"Endivie, roh",Frisée Salat,Gemüse/Gemüse frisch,16,0.2,1.8
902,Engadiner Nusstorte,,"Süssigkeiten/Kuchen, Torten und Cake",486,28.3,7
630,Erbse (Konserve) ,,Gemüse/Gemüse gekocht (inkl. Konserven),88,0.8,4.8
1011,"Erbse (Konserve), aufgewärmt (ohne Zugabe von Salz)",,Gemüse/Gemüse gekocht (inkl. Konserven),94,0.9,5.1
1010,"Erbse, grün, gedämpft (ohne Zugabe von Salz)",,Gemüse/Gemüse gekocht (inkl. Konserven),104,0.8,6.9
369,"Erbse, grün, roh",,Gemüse/Gemüse frisch,90,0.7,6
13389,"Erbse, reif, getrocknet","Erbse, geschält, getrocknet","Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte",331,1.7,21.3
13390,"Erbse, reif, getrocknet, gekocht (ohne Zusatz von Fett und Salz)",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte",142,0.7,9.1
815,Erbsen und Karotten (Konserve),,Gemüse/Gemüse gekocht (inkl. Konserven),67,0.5,3.8
1034,"Erbsen und Karotten (Konserve), aufgewärmt (ohne Zugabe von Salz)",,Gemüse/Gemüse gekocht (inkl. Konserven),71,0.5,4
385,"Erdbeere, roh",,Früchte/Früchte frisch,40,0.5,0.7
282,Erdnuss,,"Nüsse, Samen und Ölfrüchte",600,48.5,26
681,Erdnuss-Flips,,Salzige Snacks/Chips,506,24.2,13.2
407,"Erdnuss, geröstet",,"Nüsse, Samen und Ölfrüchte",593,49,25.3
751,Erdnussbutter,,Süssigkeiten/Konfitüren und süsse Brotaufstriche,638,53.7,22.6
596,Erdnussöl,,Fette und Öle/Öle,809,89.9,0
1190,"Espresso crème, ungezuckert",,Alkoholfreie Getränke/Kaffee,28,2.5,0.5
1693,Essig,,"Verschiedenes/Salz, Gewürze und Aromen",22,0,0.1
1199,Essig-Öl-Salatsauce (mit Rapsöl),,Fette und Öle/Salatsaucen,326,33,0.7
387,"Feige, getrocknet",Dörrfeige,Früchte/Früchte getrocknet,273,1.2,3.2
386,"Feige, roh",,Früchte/Früchte frisch,74,0.3,0.9
211,"Felche, roh",,Fisch/Süsswasserfische,101,2.7,19.2
1008,"Fenchel, gedämpft (ohne Zugabe von Salz)",,Gemüse/Gemüse gekocht (inkl. Konserven),23,0.3,1.1
352,"Fenchel, roh",,Gemüse/Gemüse frisch,23,0.3,1.1
13345,"Fisch (Durchschnitt), Filet, gedämpft (ohne Zusatz von Fett und Salz)",,Fisch,171,7.8,25.3
1098,"Fisch (Durchschnitt), roh ",,Fisch/Süsswasserfische;Fisch/Meeresfische,137,6.2,20.2
1168,"Fischstäbchen (paniert und vorfritiert), gebraten in HOLL-Rapsöl",,Fisch/Meeresfische,310,19.1,17.6
1169,"Fischstäbchen (paniert und vorfritiert), im Ofen gebacken (ohne Zugabe von Fett)",,Fisch/Meeresfische,264,13.2,18.4
773,"Fischstäbchen, paniert und vorfritiert",,Fisch/Meeresfische,232,11.6,16.2
1504,"Flammenkuchen, gebacken",Flammkuchen,Gerichte/Kuchen und Gratins,268,15.1,9.3
1111,"Fleisch (Durchschnitt exkl. Innereien), roh ",,"Fleisch und Innereien/Kalb;Fleisch und Innereien/Geflügel;Fleisch und Innereien/Lamm, Schaf;Fleisch und Innereien/Rind;Fleisch und Innereien/Schwein;Fleisch und Innereien/Wild",145,6.6,21.5
1084,Fleischkäse,,Fleisch- und Wurstwaren/Brühwurstware,256,22.3,12.5
1664,"Fleischlasagne, zubereitet",,Gerichte/Italienische Gerichte,156,6.9,9.7
13351,"Flunder, Filet, gedämpft (ohne Zusatz von Fett und Salz)",,Fisch/Meeresfische,90,0.9,20.6
481,"Flunder, roh",,Fisch/Meeresfische,72,0.7,16.5
1476,"Fondue alkoholfrei, zubereitet",,Gerichte/Sonstige salzige/rezente Gerichte,281,21.8,19.4
797,"Fondue klassisch, zubereitet",,Gerichte/Sonstige salzige/rezente Gerichte,308,23.1,20.6
1475,"Fondue moitié-moitié, zubereitet",,Gerichte/Sonstige salzige/rezente Gerichte,282,21.4,17.6
13349,"Forelle, ganz, gekocht (ohne Zusatz von Fett und Salz)",,Fisch/Süsswasserfische,159,8.8,20
289,"Forelle, roh",Bachforelle,Fisch/Süsswasserfische,127,7,16
1515,Fotzelschnitte ungezuckert,,Gerichte/Sonstige süsse Gerichte,224,10,8
536,Freiburger Vacherin,,Milch und Milchprodukte/Hartkäse,372,30.4,24
567,"Frischkäse, Doppelrahm",,Milch und Milchprodukte/Frischkäse und Quark,338,32.1,7.9
1124,"Früchte (Durchschnitt), gekocht (ohne Zugabe von Zucker)",,Früchte/Früchte gekocht (inkl. Konserven),64,0.4,0.6
1120,"Früchte (Durchschnitt), getrocknet","Dörrfrüchte (Durchschnitt);Früchte, gedörrt (Durchschnitt)",Früchte/Früchte getrocknet,276,0.9,2.8
1123,"Früchte (Durchschnitt), roh",,Früchte/Früchte frisch,57,0.3,0.7
1131,"Fruchtsaft-Schorle (Durchschnitt, 60% Saft - 40% Wasser), ungezuckert",,Alkoholfreie Getränke/Frucht- und Gemüsesäfte,31,0.2,0.2
1130,"Fruchtsaft (Durchschnitt), ungezuckert",,Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte,52,0.3,0.3
775,"Fruchtsalat, gezuckert (Konserve)",Fruit Cocktail,Früchte/Früchte gekocht (inkl. Konserven),78,0.2,0.5
777,"Fruchtsalat, ungezuckert (Konserve)",Fruit Cocktail,Früchte/Früchte gekocht (inkl. Konserven),53,0.2,0.5
10456,Fruchtwähe/-kuchen (Durchschnitt),,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",155,7.7,2.9
10453,Fruchtwähe/-kuchen mit Blätterteig (Durchschnitt),,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",136,6.9,2.6
10454,Fruchtwähe/-kuchen mit Kuchenteig (Durchschnitt),,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",128,4.8,3
10455,Fruchtwähe/-kuchen mit süssem Mürbeteig (Durchschnitt),,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",200,11.4,3.2
817,Fünfkornbier,,Alkoholhaltige Getränke/Bier,40,0,0.6
1497,"Garnele, gekocht",Shrimp;Scampi;Crevette,"Fisch/Meeresfrüchte, Krusten- und Schalentiere",59,0.6,12
766,"Garnele, roh",Shrimp;Scampi;Crevette,"Fisch/Meeresfrüchte, Krusten- und Schalentiere",56,0.6,11.4
1100,"Geflügelfleisch (Durchschnitt exkl. Innereien), roh",,Fleisch und Innereien/Geflügel,131,4.8,21.9
1109,"Geflügelfleisch mit Haut (Durchschnitt), roh",,Fleisch und Innereien/Geflügel,151,7.6,20.7
1108,"Geflügelfleisch ohne Haut (Durchschnitt exkl. Innereien), roh",,Fleisch und Innereien/Geflügel,114,2.5,22.9
1092,Geflügellyoner,,Fleisch- und Wurstwaren/Brühwurstware,205,16.4,13.5
13317,"Gehacktes (Durchschnitt aus Rind, Kalb, Schwein, Poulet), gebraten (ohne Zusatz von Fett und Salz)",,Fleisch und Innereien,179,7.8,27.3
1105,"Gehacktes (Durchschnitt aus Rind, Kalb, Schwein, Poulet), roh",,Fleisch und Innereien/Kalb;Fleisch und Innereien/Rind;Fleisch und Innereien/Schwein;Fleisch und Innereien/Geflügel,142,6.2,21.6
1152,"Gemüse (Durchschnitt), roh",,Gemüse/Gemüse frisch,27,0.3,1.3
1580,"Gemüsegratin, gebacken",,Gerichte/Kuchen und Gratins,57,3.6,3
1666,"Gemüselasagne, zubereitet",,Gerichte/Italienische Gerichte,135,7.4,4.8
739,Gerstenflocken,,"Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime",330,1.5,7.9
